Director,Film_Country,Film_Date,Film_Name,Film_Rate,Stars
Frank Darabont,USA,14 October 1994,The Shawshank Redemption,9.3,"Tim Robbins,Morgan Freeman,Bob Gunton"
Christopher Nolan,USA,18 July 2008,The Dark Knight,9.0,"Christian Bale,Heath Ledger,Aaron Eckhart"
Francis Ford Coppola,USA,24 March 1972,The Godfather,9.2,"Marlon Brando,Al Pacino,James Caan"
Peter Jackson,USA,17 December 2003,The Lord of the Rings: The Return of the King,8.9,"Elijah Wood,Viggo Mortensen,Ian McKellen"
Michel Gondry,USA,19 March 2004,Eternal Sunshine of the Spotless Mind,8.3,"Jim Carrey,Kate Winslet,Tom Wilkinson"
Darren Aronofsky,USA,15 December 2000,Requiem for a Dream,8.3,"Ellen Burstyn,Jared Leto,Jennifer Connelly"
Quentin Tarantino,Netherlands,5 August 1993,Reservoir Dogs,8.3,"Harvey Keitel,Tim Roth,Michael Madsen"
Chan-wook Park,Netherlands,11 November 2004,Oldboy,8.4,"Min-sik Choi,Ji-Tae Yoo,Hye-jeong Kang"
Richard Marquand,USA,25 May 1983,Star Wars: Episode VI - Return of the Jedi,8.3,"Mark Hamill,Harrison Ford,Carrie Fisher"
Hayao Miyazaki,USA,19 December 1997,Princess Mononoke,8.4,"Yôji Matsuda,Yuriko Ishida,Yûko Tanaka"
Damien Chazelle,Netherlands,13 November 2014,Whiplash,8.5,"Miles Teller,J.K. Simmons,Melissa Benoist"
Fritz Lang,Netherlands,16 October 1931,M,8.3,"Peter Lorre,Ellen Widmann,Inge Landgut"
Shûsuke Kaneko,Japan,17 June 2006,Death Note,7.7,"Tatsuya Fujiwara,Ken'ichi Matsuyama,Asaka Seto"
Roger Allers,USA,24 June 1994,The Lion King,8.5,"Matthew Broderick,Jeremy Irons,James Earl Jones"
Martin McDonagh,USA,29 February 2008,In Bruges,7.9,"Colin Farrell,Brendan Gleeson,Ciarán Hinds"
Billy Wilder,Australia,29 September 1950,Sunset Blvd.,8.4,"William Holden,Gloria Swanson,Erich von Stroheim"
George Roy Hill,USA,24 September 1969,Butch Cassidy and the Sundance Kid,8.0,"Paul Newman,Robert Redford,Katharine Ross"
Hayao Miyazaki,Japan,2 August 1986,Castle in the Sky,8.0,"Mayumi Tanaka,Keiko Yokozawa,Kotoe Hatsui"
Jean-Pierre Melville,France,25 October 1967,Le Samouraï,8.1,"Alain Delon,François Périer,Nathalie Delon"
Hayao Miyazaki,USA,25 November 1987,Nausicaä of the Valley of the Wind,8.1,"Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda"
José Padilha,Netherlands,22 May 2008,Elite Squad,8.1,"Wagner Moura,André Ramiro,Caio Junqueira"
Henry Koster,USA,21 December 1950,Harvey,7.9,"James Stewart,Wallace Ford,William H. Lynn"
Richard Kelly,Netherlands,20 June 2002,Donnie Darko,8.0,"Jake Gyllenhaal,Jena Malone,Mary McDonnell"
Terry George,USA,4 February 2005,Hotel Rwanda,8.1,"Don Cheadle,Sophie Okonedo,Joaquin Phoenix"
